@locale,Address.AddressLine1,Address.AddressLine2,Address.City,Address.CountryName,Address.County,Address.FormattedAddress,Address.IntersectionDescription,Address.Latitude,Address.Longitude,Address.PostalCode,Address.Subdivision,AlternateIdentifier.ID,,ID,IsDaylightSavingsTimeRecognized,LocationMilestones.LastRemodelDate,LocationMilestones.OpenDate,Market,Name,OperatingHours.@timeFormat,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,SubTypeDescription,TimeZone.TimeZoneCode,TimeZone.TimeZoneDescription,TimeZone.TimeZoneOffset.OffsetCode,TimeZone.TimeZoneOffset.OffsetHours,TypeCode,PhoneNumber,FaxNumber,BeginTime MF,Is24Hours MF,IsOpen MF,Summary MF,ThruTime MF,BeginTime Sat,Is24Hours Sat,IsOpen Sat,Summary Sat,ThruTime Sat,BeginTime Sun,Is24Hours Sun,IsOpen Sun,Summary Sun,ThruTime Sun,AllCapability
en-US,400 Oxford Exchange Blvd,,Oxford,United States,Calhoun,"400 Oxford Exchange Blvd, Oxford, AL 36203-3459",SEC I-20 & Golden Creek Rd,33.608825,-85.783182,36203-3459,AL,T2153,,2153,TRUE,,2006-07-19 12:00:00,ESE,Oxford,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(256) 231-2900,(256) 231-2910,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Café', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,2640 Enterprise Dr,,Opelika,United States,Lee,"2640 Enterprise Dr, Opelika, AL 36801-1511",NWC I-85 & Hwy 280,32.618108,-85.410636,36801-1511,AL,T1499,,1499,TRUE,,2005-07-20 12:00:00,ESE,Opelika,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 705-0152,(334) 363-3235,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,1129 S Park St,,Carrollton,United States,Carroll,"1129 S Park St, Carrollton, GA 30117-4429",NWC US 27 & Hwy 166 Bypass,33.55892,-85.076473,30117-4429,GA,T1073,,1073,TRUE,,1997-07-23 12:00:00,ESE,Carrollton,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 838-9221,(678) 664-3234,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,
en-US,555 Bullsboro Dr,,Newnan,United States,Coweta,"555 Bullsboro Dr, Newnan, GA 30265-1045",SWC I-85 & Rte 34,33.392907,-84.758875,30265-1045,GA,T1223,,1223,TRUE,2013-06-27 12:00:00,1999-10-06 12:00:00,ESE,Newnan,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 502-0294,(678) 621-6321,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Café', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']"
en-US,1591 Bradley Park Dr,,Columbus,United States,Muscogee,"1591 Bradley Park Dr, Columbus, GA 31904-3071",NEC Bradley Pk & JR Allen Pkwy,32.534649,-84.971073,31904-3071,GA,T1179,,1179,TRUE,2004-10-17 12:00:00,1999-03-03 12:00:00,ESE,Columbus,12-hour,340,394,300,,EST,Eastern Std Time,UTC,-5,STR,(706) 321-0831,(706) 225-5604,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Café', 'Mobile Kiosk', 'Photo Lab']"
en-US,1209 Peachtree Pkwy N,,Peachtree City,United States,Fayette,"1209 Peachtree Pkwy N, Peachtree City, GA 30269-1743",SEC Hwy 74 & Peachtree Pkwy,33.436865,-84.590146,30269-1743,GA,T2129,,2129,TRUE,2013-10-10 12:00:00,2006-07-19 12:00:00,ESE,Peachtree City,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 282-2165,(678) 734-3839,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']"
en-US,2576 Berryhill Rd,,Montgomery,United States,Montgomery,"2576 Berryhill Rd, Montgomery, AL 36117-3564",SEC I-85 & Taylor Rd,32.360305,-86.16067,36117-3564,AL,T1825,,1825,TRUE,2014-04-03 12:00:00,2003-10-08 12:00:00,ESE,Montgomery,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 356-6265,(334) 523-9794,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,2950 Chapel Hill Rd,,Douglasville,United States,Douglas,"2950 Chapel Hill Rd, Douglasville, GA 30135-1708",SEC Chapel Hill & Timber Ridge,33.726106,-84.735376,30135-1708,GA,T1172,,1172,TRUE,,1998-10-07 12:00:00,ESE,Douglasville,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 947-5303,(770) 250-4101,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Café']"
en-US,2754 Legends Pkwy,,Prattville,United States,Elmore,"2754 Legends Pkwy, Prattville, AL 36066-7748",SEC Hwy 82 & Cobbs Ford Rd,32.457557,-86.395508,36066-7748,AL,T2274,,2274,TRUE,,2007-07-25 12:00:00,ESE,Prattville,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 290-6000,(334) 290-6010,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']"
en-US,4616 Highway 280,,Birmingham,United States,Shelby,"4616 Highway 280, Birmingham, AL 35242-5028",SWC US 280 & River Rd,33.42553,-86.711805,35242-5028,AL,T1772,,1772,TRUE,,2000-10-04 12:00:00,ESE,Birmingham 280 Corridor,12-hour,340,394,300,SuperTarget,CST,Central Std Time,UTC,-6,STR,(205) 408-7687,(205) 578-5170,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Café', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
