@locale,Address.AddressLine1,Address.AddressLine2,Address.City,Address.CountryName,Address.County,Address.FormattedAddress,Address.IntersectionDescription,Address.Latitude,Address.Longitude,Address.PostalCode,Address.Subdivision,AlternateIdentifier.ID,,ID,IsDaylightSavingsTimeRecognized,LocationMilestones.LastRemodelDate,LocationMilestones.OpenDate,Market,Name,OperatingHours.@timeFormat,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,SubTypeDescription,TimeZone.TimeZoneCode,TimeZone.TimeZoneDescription,TimeZone.TimeZoneOffset.OffsetCode,TimeZone.TimeZoneOffset.OffsetHours,TypeCode,PhoneNumber,FaxNumber,BeginTime MF,Is24Hours MF,IsOpen MF,Summary MF,ThruTime MF,BeginTime Sat,Is24Hours Sat,IsOpen Sat,Summary Sat,ThruTime Sat,BeginTime Sun,Is24Hours Sun,IsOpen Sun,Summary Sun,ThruTime Sun,AllCapability
en-US,2295 N Imperial Ave,,El Centro,United States,Imperial,"2295 N Imperial Ave, El Centro, CA 92243-1335",SEC Imperial Ave & Cruikshank Dr,32.813328,-115.567642,92243-1335,CA,T1816,"T1816,",1816,TRUE,2012-06-21 12:00:00,2003-10-08 12:00:00,RG2,El Centro,12-hour,201,296,200,,PST,Pacific Std Time,UTC,-8,STR,(760) 482-5400,(760) 679-5374,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']"
en-US,78935 US Hwy 111,,La Quinta,United States,Riverside,"78935 US Hwy 111, La Quinta, CA 92253-2072",SEC Washington St & Hwy 111,33.708582,-116.289698,92253-2072,CA,T1867,"T1867,",1867,TRUE,2011-07-21 12:00:00,2004-03-03 12:00:00,RG2,La Quinta,12-hour,205,292,200,,PST,Pacific Std Time,UTC,-8,STR,(760) 564-0492,(760) 972-3625,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']"
en-US,72549 Highway 111,,Palm Desert,United States,Riverside,"72549 Highway 111, Palm Desert, CA 92260-3306",SWC Fred Waring Dr & Rte 111,33.724327,-116.403427,92260-3306,CA,T0940,"T0940,",940,TRUE,2011-06-02 12:00:00,1995-03-08 12:00:00,RG2,Palm Desert,12-hour,205,292,200,,PST,Pacific Std Time,UTC,-8,STR,(760) 341-9307,(760) 469-8826,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']"
en-US,67750 E Palm Canyon Dr,,Cathedral City,United States,Riverside,"67750 E Palm Canyon Dr, Cathedral City, CA 92234-5441",NEC Hwy 111 & Creek Rd,33.789552,-116.481456,92234-5441,CA,T0307,"T0307,",307,TRUE,2011-10-06 12:00:00,1987-07-22 12:00:00,RG2,Palm Springs,12-hour,205,292,200,,PST,Pacific Std Time,UTC,-8,STR,(760) 321-7425,(760) 904-6736,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Café', 'Fresh Grocery', 'Mobile Kiosk', 'Wine, Beer, & Spirits Available']"
en-US,20288 US Highway 18,,Apple Valley,United States,San Bernardino,"20288 US Highway 18, Apple Valley, CA 92307-2937",SEC Hwy 18 & Thunderbird Rd,34.527472,-117.217228,92307-2937,CA,T2260,"T2260,",2260,TRUE,,2007-07-25 12:00:00,RG2,Apple Valley North,12-hour,248,292,200,SuperTarget,PST,Pacific Std Time,UTC,-8,STR,(760) 240-7654,(760) 240-7765,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine, Beer, & Spirits Available']"
en-US,19201 Bear Valley Rd,,Apple Valley,United States,San Bernardino,"19201 Bear Valley Rd, Apple Valley, CA 92308-6763",SWC Apple Vly & Bear Vly Rd,34.469177,-117.243953,92308-6763,CA,T0939,"T0939,",939,TRUE,2011-10-06 12:00:00,1994-10-05 12:00:00,RG2,Apple Valley,12-hour,248,292,200,,PST,Pacific Std Time,UTC,-8,STR,(760) 247-4111,(760) 810-4144,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']"
en-US,12795 Main St,,Hesperia,United States,San Bernardino,"12795 Main St, Hesperia, CA 92345-9110",SWC I-15 & Main St,34.425036,-117.383994,92345-9110,CA,T2468,"T2468,",2468,TRUE,,2008-10-08 12:00:00,RG2,Hesperia,12-hour,248,292,200,SuperTarget,PST,Pacific Std Time,UTC,-8,STR,(760) 949-3062,(760) 949-3128,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['Accepts WIC', 'Bakery', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine, Beer, & Spirits Available']"
en-US,2380 Sterling Ave,,San Bernardino,United States,San Bernardino,"2380 Sterling Ave, San Bernardino, CA 92404-4624",NWC N Sterling & Highland Aves,34.138128,-117.24501,92404-4624,CA,T0297,"T0297,",297,TRUE,2001-10-31 12:00:00,1987-07-22 12:00:00,RG2,San Bernardino,12-hour,248,292,200,,PST,Pacific Std Time,UTC,-8,STR,(909) 881-2671,(909) 475-3351,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Café', 'Wine, Beer, & Spirits Available']"
en-US,27320 W Lugonia Ave,,Redlands,United States,San Bernardino,"27320 W Lugonia Ave, Redlands, CA 92374-2041",NEC Alabama & Lugonia Ave,34.071916,-117.206907,92374-2041,CA,T1869,"T1869,",1869,TRUE,2011-06-02 12:00:00,2004-03-03 12:00:00,RG2,Redlands,12-hour,248,292,200,,PST,Pacific Std Time,UTC,-8,STR,(909) 307-1602,(909) 363-4815,8:00:00,FALSE,TRUE,8:00 a.m.-12:00 a.m.,0:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-12:00 a.m.,0:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']"
en-US,3527 W Florida Ave,,Hemet,United States,Riverside,"3527 W Florida Ave, Hemet, CA 92545-3564",SWC Florida Ave & Sanderson Av,33.745886,-117.008866,92545-3564,CA,T0761,"T0761,",761,TRUE,2011-10-06 12:00:00,1995-10-04 12:00:00,RG2,Hemet,12-hour,205,292,200,,PST,Pacific Std Time,UTC,-8,STR,(951) 652-9585,(951) 306-3603,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Clinic care by Kaiser Permanente', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']"
